resistance,drug
"ARO:3004220","ARO:0000020"
"ARO:3004221","ARO:0000020"
"ARO:3004222","ARO:0000020"
"ARO:3004223","ARO:0000020"
"ARO:3004224","ARO:0000020"
"ARO:3004225","ARO:0000020"
"ARO:3004225","ARO:0000032"
"ARO:3004225","ARO:3000008"
"ARO:3004226","ARO:0000032"
"ARO:3004226","ARO:3000008"
"ARO:3004227","ARO:0000020"
"ARO:3004228","ARO:0000032"
"ARO:3004228","ARO:3000008"
"ARO:3004229","ARO:3000008"
"ARO:3004230","ARO:0000020"
"ARO:3004230","ARO:0000032"
"ARO:3004230","ARO:3000008"
"ARO:3004231","ARO:0000032"
"ARO:3004231","ARO:3000008"
"ARO:3004232","ARO:0000032"
"ARO:3004232","ARO:3000008"
"ARO:3004233","ARO:3000008"
"ARO:3004234","ARO:3000008"
"ARO:3004235","ARO:3000008"
"ARO:3004236","ARO:0000000"
"ARO:3004237","ARO:0000000"
"ARO:3004238","ARO:3000282"
"ARO:3004240","ARO:0000032"
"ARO:3004240","ARO:3000008"
"ARO:3004241","ARO:0000032"
"ARO:3004241","ARO:3000008"
"ARO:3004242","ARO:0000020"
"ARO:3004243","ARO:3000157"
"ARO:3004244","ARO:3000157"
"ARO:3004245","ARO:0000025"
"ARO:3004246","ARO:0000025"
"ARO:3004247","ARO:0000025"
"ARO:3004248","ARO:0000025"
"ARO:3004250","ARO:0000025"
"ARO:3004251","ARO:0000025"
"ARO:3004255","ARO:3000081"
"ARO:3004256","ARO:3000081"
"ARO:3004257","ARO:0000016"
"ARO:3004258","ARO:0000016"
"ARO:3004259","ARO:0000016"
"ARO:3004260","ARO:3000053"
"ARO:3004261","ARO:3000053"
"ARO:3004262","ARO:3000053"
"ARO:3004263","ARO:3000053"
"ARO:3004264","ARO:3000053"
"ARO:3004265","ARO:3000053"
"ARO:3004268","ARO:3000053"
"ARO:3004269","ARO:3000053"
"ARO:3004270","ARO:3000520"
"ARO:3004270","ARO:3000870"
"ARO:3004271","ARO:0000016"
"ARO:3004272","ARO:0000016"
"ARO:3004273","ARO:0000017"
"ARO:3004275","ARO:0000016"
"ARO:3004276","ARO:0000016"
"ARO:3004278","ARO:0000004"
"ARO:3004278","ARO:0000020"
"ARO:3004278","ARO:0000032"
"ARO:3004278","ARO:0000044"
"ARO:3004278","ARO:3000008"
"ARO:3004278","ARO:3003706"
"ARO:3004279","ARO:0000001"
"ARO:3004279","ARO:3000050"
"ARO:3004280","ARO:0000001"
"ARO:3004280","ARO:0000016"
"ARO:3004281","ARO:0000004"
"ARO:3004281","ARO:0000020"
"ARO:3004281","ARO:0000032"
"ARO:3004281","ARO:0000044"
"ARO:3004281","ARO:3000008"
"ARO:3004281","ARO:3003706"
"ARO:3004282","ARO:3000053"
"ARO:3004283","ARO:0000020"
"ARO:3004284","ARO:3000870"
"ARO:3004285","ARO:3000034"
"ARO:3004286","ARO:0000016"
"ARO:3004287","ARO:3000053"
"ARO:3004288","ARO:0000020"
"ARO:3004293","ARO:0000032"
"ARO:3004333","ARO:3000870"
"ARO:3004358","ARO:0000032"
"ARO:3004358","ARO:3000008"
"ARO:3004363","ARO:3000053"
"ARO:3004378","ARO:0000001"
"ARO:3004379","ARO:0000001"
"ARO:3004443","ARO:0000020"
"ARO:3004443","ARO:0000032"
"ARO:3004447","ARO:3000008"
"ARO:3004449","ARO:0000032"
"ARO:3004449","ARO:3000008"
"ARO:3004465","ARO:3000053"
"ARO:3004467","ARO:0000001"
"ARO:3004469","ARO:0000000"
"ARO:3004469","ARO:0000017"
"ARO:3004469","ARO:0000026"
"ARO:3004469","ARO:3000050"
"ARO:3004469","ARO:3000079"
"ARO:3004469","ARO:3000387"
"ARO:3004469","ARO:3000670"
"ARO:3004545","ARO:0000020"
"ARO:3004558","ARO:0000020"
"ARO:3004558","ARO:0000032"
"ARO:3004558","ARO:0000044"
"ARO:3004558","ARO:3000008"
"ARO:3004570","ARO:0000020"
"ARO:3004570","ARO:0000032"
"ARO:3004570","ARO:3000008"
"ARO:3004573","ARO:0000025"
"ARO:3004574","ARO:0000001"
"ARO:3004578","ARO:3000008"
"ARO:3004580","ARO:0000032"
"ARO:3004583","ARO:0000032"
"ARO:3004588","ARO:0000032"
"ARO:3004597","ARO:0000032"
"ARO:3004598","ARO:0000016"
"ARO:3004722","ARO:3003413"
"ARO:3004725","ARO:3000081"
"ARO:3004741","ARO:0000032"
"ARO:3004741","ARO:3000008"
"ARO:3004742","ARO:3000008"
"ARO:3004746","ARO:0000032"
"ARO:3004748","ARO:3000008"
"ARO:3004750","ARO:3000008"
"ARO:3004752","ARO:0000020"
"ARO:3004754","ARO:0000032"
"ARO:3004756","ARO:0000020"
"ARO:3004758","ARO:3000008"
"ARO:3004760","ARO:3000008"
"ARO:3004763","ARO:3000008"
"ARO:3004765","ARO:3000008"
"ARO:3004767","ARO:0000020"
"ARO:3004767","ARO:0000032"
"ARO:3004772","ARO:3000008"
"ARO:3004774","ARO:3000008"
"ARO:3004776","ARO:0000032"
"ARO:3004779","ARO:3000008"
"ARO:3004781","ARO:3000008"
"ARO:3004783","ARO:3000008"
"ARO:3004785","ARO:0000020"
"ARO:3004785","ARO:0000032"
"ARO:3004787","ARO:3000008"
"ARO:3004794","ARO:3000008"
"ARO:3004796","ARO:3000008"
"ARO:3004800","ARO:3000008"
"ARO:3004824","ARO:0000001"
"ARO:3004824","ARO:0000016"
"ARO:3004824","ARO:3000050"
"ARO:3004824","ARO:3000157"
"ARO:3004855","ARO:3000008"
"ARO:3004874","ARO:3000520"
"ARO:3004875","ARO:3003474"
"ARO:3004878","ARO:3003413"
"ARO:3004880","ARO:3003413"
"ARO:3004882","ARO:3003413"
"ARO:3004888","ARO:3003474"
"ARO:3004890","ARO:3003474"
"ARO:3004892","ARO:3003474"
"ARO:3004894","ARO:3000520"
"ARO:3004895","ARO:3000520"
"ARO:3004897","ARO:3000520"
"ARO:3004899","ARO:3000520"
"ARO:3004901","ARO:3000520"
"ARO:3004903","ARO:3000520"
"ARO:3004904","ARO:3000520"
"ARO:3004906","ARO:3000520"
"ARO:3004908","ARO:3000520"
"ARO:3004910","ARO:3000520"
"ARO:3004911","ARO:3000520"
"ARO:3004913","ARO:3000520"
"ARO:3004936","ARO:0000016"
"ARO:3004939","ARO:3000760"
"ARO:3004943","ARO:3000760"
"ARO:3004946","ARO:3000760"
"ARO:3004949","ARO:3000527"
"ARO:3004954","ARO:3003474"
"ARO:3004959","ARO:3000157"
"ARO:3004962","ARO:0000016"
"ARO:3004980","ARO:3003413"
"ARO:3004983","ARO:3003413"
"ARO:3004986","ARO:3003413"
"ARO:3004989","ARO:3003413"
"ARO:3004992","ARO:3003413"
"ARO:3005000","ARO:3004858"
"ARO:3005001","ARO:0000000"
"ARO:3005002","ARO:3003413"
"ARO:3005009","ARO:3005386"
"ARO:3005010","ARO:3000054"
"ARO:3005011","ARO:0000020"
"ARO:3005011","ARO:0000032"
"ARO:3005014","ARO:0000020"
"ARO:3005017","ARO:0000020"
"ARO:3005017","ARO:0000032"
"ARO:3005017","ARO:3000008"
"ARO:3005034","ARO:0000032"
"ARO:3005034","ARO:3000008"
"ARO:3005049","ARO:0000016"
"ARO:3005050","ARO:3000053"
"ARO:3005058","ARO:3000079"
"ARO:3005059","ARO:0000020"
"ARO:3005059","ARO:3000053"
"ARO:3005059","ARO:3000103"
"ARO:3005059","ARO:3000157"
"ARO:3005082","ARO:3000670"
"ARO:3005089","ARO:0000000"
"ARO:3005092","ARO:0000016"
"ARO:3005095","ARO:0000020"
"ARO:3005098","ARO:3005386"
"ARO:3005101","ARO:3004025"
"ARO:3005103","ARO:3000520"
"ARO:3005104","ARO:3004025"
"ARO:3005107","ARO:3004025"
"ARO:3005110","ARO:0000032"
"ARO:3005110","ARO:3000008"
"ARO:3005113","ARO:0000001"
"ARO:3005113","ARO:0000016"
"ARO:3005149","ARO:0000032"
"ARO:3005205","ARO:3005175"
